id,char_id,name,base_hp,stats_1,stats_2,stats_3,stats_4,stats_5,stats_6,background,race,class_starting,class_starting_level,subclass_starting,class_other,subclass_other,total_level,feats,inventory,date_modified,notes_len,gold
0,1,Molster,8,11,22,11,17,20,12,Urban Bounty Hunter,Aarakocra,Artificer,4,,,,4,,"Adamantine Chain Shirt/Cloak of Protection/Goggles of Night/Periapt of Proof against Poison/Ring of Mind Shielding/Staff of Power/Studded Leather"",""+1/Studded Leather/Rapier/Crossbow Bolts",2022-09-12T19:13:03.29Z,17,305.0
1,3,Prailak,103,12,17,18,14,16,16,Charlatan,Tiefling,Warlock,20,The Great Old One,,,20,"Spell Sniper (Bard","Sorcerer","Warlock)/Infernal Constitution","Bag of Holding/Iron Flask/Studded Leather","+3/Wand of the War Mage","+3/Rod of the Pact Keeper","+3/Illusionist's Bracers/Dungeon Key 4/Cloak of Displacement/Ring of Spell Storing",2021-12-07T21:25:36.9Z,60,0.0
2,8,Aurilanax,76,18,10,16,13,13,16,City Watch / Investigator,Bugbear,Paladin,7,Oath of the Crown,,,7,,Shield,2021-01-21T16:50:35Z,0,0.0
3,10,Gamndell Banglebon,127,10,14,16,16,15,18,Clan Crafter,Gnome,Warlock,2,,Bard/Cleric/Wizard,School of Illusion,16,,Give/Studded Leather/Dagger/Light Hammer/Ink (1 ounce bottle)/Ink Pen/Parchment (one sheet),2020-08-06T16:05:07Z,65,4951.06
4,19,Bellek Bouncer,52,10,10,15,12,14,10,Sailor,Half-Orc,Cleric,6,Life Domain,,,6,,Shield/Plate/Mace/Potion of Healing,2020-05-15T04:47:59Z,0,0.0
5,44,Yehudi,41,15,8,14,16,13,16,Far Traveler,Firbolg,Monk,5,Way of the Long Death,,,5,,Shield,2022-11-08T02:58:57.507Z,157,5.0
6,45,Rockhand,82,18,14,17,7,8,13,Outlander,Goliath,Barbarian,11,Path of the Wild Soul (archived),,,11,Dual Wielder,"Amulet of Proof against Detection and Location/Bag of Holding/Cloak of Protection/Eyes of the Eagle/Flame Tongue Greatsword/Ring of Animal Influence/Greataxe","+1/Warhammer","+1/Potion of Giant Size/Handaxe/Handaxe/Javelin/Backpack/Bedroll/Mess Kit/Tinderbox/Torch/Rations (1 day)/Waterskin/Rope","Hempen (50 feet)/Hunting Trap/Clothes","Traveler's",2020-12-03T21:38:23.06Z,354,10305.75
7,48,Atherinnyia 'Rinn' Teshurr,62,8,14,13,17,12,15,Noble,Elf,Wizard,13,School of Evocation,Sorcerer,Draconic Bloodline,15,Resilient (Constitution),"Circlet of Blasting/Robe of Stars/Potion of Healing (Greater)/Dagger","+1/Heward's Handy Haversack/Staff of Defense/Shortbow/Arrows/Crystal/Pouch/Quiver/Quiver/Quiver/Robes/Signet Ring/Spellbook",2022-10-31T07:40:18.41Z,2765,73.42
8,54,Althovion,58,12,15,15,13,15,16,Charlatan,Human,Sorcerer,14,Shadow Magic,,,14,Resilient (Dexterity)/Ritual Caster (Wizard),"Bag of Holding/Circlet of Blasting/Cloak of the Manta Ray/Lantern of Revealing/Necklace of Fireballs/Staff of Fire/Wand of Magic Detection/Potion of Healing (Greater)/Crossbow","Light","+1/Dagger","+1/Sending Stones/Spell Gem (Obsidian)/Spell Gem (Bloodstone)/Wand of Viscid Globs/Case","Map or Scroll/Clothes","Common/Crossbow Bolts/Crystal/Healer's Kit/Potion of Healing/Pouch/Spell Gem (Diamond)",2021-09-21T06:33:28Z,3336,522.84
9,59,Veelan Pheer'ii,12,10,14,14,10,12,13,Far Traveler,Genasi,Fighter,5,Champion,Rogue,Thief,8,,"Censer of Controlling Air Elementals/Shield","+1/Armor of Lightning Resistance","Breastplate/Rapier","+2/Helm of the Subsistent Watcher/Abacus/Dungeoneer's Pack",2018-06-29T15:37:47Z,13,10.0
